Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
workingMicrowave,blocks,Workstation,KgNone,Microwave (Powered),,,,,
workingMicrowaveDesc,blocks,Workstation,KgNone,"This microwave is powered already and can be used to heat up bowls of canned food to gain the maximum benefits from them.",,,,,
drinkBowlEmpty,items,Item,KgNone,Bowl (Empty),,,,,
drinkBowlEmptyDesc,items,Item,KgNone,Use this empty bowl to heat up foods in the microwave.,,,,,
foodSoupChicken,items,Food,KgNone,Bowl of Chicken Soup,,,,,
foodSoupChickenDesc,items,Food,KgNone,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,,,,,
foodBowlPasta,items,Food,KgNone,Bowl of Pasta,,,,,
foodBowlPastaDesc,items,Food,KgNone,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,,,,,
foodBowlChili,items,Food,KgNone,Bowl of Chili,,,,,
foodBowlChiliDesc,items,Food,KgNone,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,,,,,
foodBeefStew,items,Food,KgNone,Bowl of Beef Stew,,,,,
foodBeefStewDesc,items,Food,KgNone,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,,,,,
foodLambSoup,items,Food,KgNone,Bowl of Lamb Soup,,,,,
foodLambSoupDesc,items,Food,KgNone,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,,,,,
foodTunaSandwich,items,Food,KgNone,Tuna Sandwich,,,,,
foodTunaSandwichDesc,items,Food,KgNone,Making a delicious tuna sandwich will give you some extra benefits.,,,,,
